"","ID","E1","E2","E3","E4","E5","E6"
"1",935,561.691871091336,363.722956339131,868.756974011208,723.822672181498,1178.04583629289,610.027108442894
"2",1316,548.913508577632,149.854323851433,1017.71193988,895.641797273786,1016.47674165108,486.95668782475
"3",1243,741.773569535655,332.040324636933,911.216487802763,810.26119064058,1237.08516728581,424.52941341909
"4",87,491.414074823897,335.353222699425,1177.670474526,942.044130574423,1055.699839435,666.094477523659
"5",1533,542.650884530706,375.635248635144,766.047138154449,638.478632746499,1018.34657780924,377.95435351514
"6",177,663.646445494883,272.159258302179,870.914188392024,814.931949294943,1011.57748383516,750.246787908125
"7",1030,655.44977620067,334.455447539337,1207.62827730156,880.889131316033,1225.55895872254,287.835517563266
"8",499,479.617247442511,399.103572796634,980.704083887129,865.333011039718,955.063745536416,454.689143664232
"9",818,637.947523379732,214.148383806072,858.474461492383,1045.12323047347,1068.93158682359,451.13143319395
"10",305,606.691282249568,167.266167526587,919.444645886092,734.208819238087,1062.46603651742,569.472270873002
"11",481,679.412466655886,338.099323543559,1139.79178544115,999.149968576428,1076.01765173069,436.281753426924
"12",1490,721.749340511663,181.037237976479,964.258664916565,884.92157376811,1094.95090677659,363.970969961875
"13",243,469.047809338337,121.534680705954,915.570531039921,607.099152396494,901.523192290028,806.761020205981
"14",537,498.287649222442,NA,1200.54110252634,928.31948425406,1393.59291940472,448.108515419001
"15",637,645.08768003751,446.618848174829,825.38571017732,779.139364872115,1089.91695858589,171.974228299873
"16",216,323.012613228932,230.391174044549,735.907087954424,914.985602504017,917.639051150342,535.501780947905
"17",1260,475.094579802748,231.045381336345,1061.50368908948,951.140539623375,916.301839907845,356.789443943946
"18",771,563.201879884839,304.730316578241,1052.70082848378,957.470374239038,1039.76121353733,464.21530439822
"19",1604,223.200544528543,106.592466888647,971.412110541451,402.795735018637,783.328151639928,315.018953015905
"20",527,694.981101150148,373.009725142271,837.961792120082,735.571086016044,790.953730828165,756.274995138458
"21",1292,238.493718926801,352.169885285913,1128.60920557682,917.198900045577,1271.7014604347,519.636976797741
